ID,Name,Email,PhoneNumber,Age,Country,Salary,JoiningDate
39,Name_39,user39@example.com,914086945722.0,29,Unknown,157058,2025-01-04
40,Name_40,user40@example.com,911705249134.0,44,India,48401,2023-07-19
41,Name_41,user41@example.com,917944882450.0,27,Canada,172224,2020-03-11
42,Name_42,user42@example.com,914946909727.0,27,India,112810,2025-01-04
43,Unknown,user43@example.com,Unavailable,58,UK,111102,2021-04-26
44,Name_44,user44@example.com,918204144254.0,51,Canada,140121,2020-03-20
45,Name_45,user45@example.com,911725906650.0,18,India,112784,2022-05-10
46,Name_46,user46@example.com,911339498791.0,21,Australia,187729,2021-04-02
47,Name_47,user47@example.com,Unavailable,56,Canada,65081,2025-01-04
48,Name_48,user48@example.com,Unavailable,35,USA,169021,2022-02-13
49,Unknown,missing@email.com,Unavailable,20,Unknown,187736,2023-09-20
50,Name_50,user50@example.com,Unavailable,22,UK,90474,2021-10-06
51,Name_51,user51@example.com,917074564593.0,44,Unknown,119876,2025-01-04
52,Name_52,user52@example.com,Unavailable,51,India,158289,2025-01-04
53,Name_53,user53@example.com,914327873793.0,40,USA,74792,2021-05-15
54,Name_54,user54@example.com,Unavailable,41,Canada,49322,2021-01-18
55,Name_55,missing@email.com,914416059293.0,24,Australia,111102,2023-12-09
56,Name_56,user56@example.com,Unavailable,50,Australia,125830,2023-01-28
57,Name_57,user57@example.com,Unavailable,47,Unknown,111102,2022-01-26
58,Name_58,user58@example.com,912875963296.0,40,Canada,42216,2022-02-03
59,Name_59,user59@example.com,911900421126.0,59,Unknown,38736,2021-02-10
60,Name_60,user60@example.com,919043834938.0,30,USA,73287,2023-01-06
61,Name_61,user61@example.com,916073941914.0,39,Australia,128920,2025-01-04
62,Unknown,user62@example.com,915318198772.0,39,India,76313,2021-03-20
63,Name_63,user63@example.com,917125328095.0,49,Australia,173577,2022-03-10
64,Name_64,user64@example.com,918712989831.0,40,Canada,128205,2021-04-25
65,Unknown,user65@example.com,913280673178.0,39,India,70373,2022-09-08
66,Unknown,user66@example.com,913283499553.0,40,Unknown,49931,2021-07-08
67,Name_67,user67@example.com,917446951710.0,50,UK,113849,2021-04-15
68,Name_68,user68@example.com,918940377070.0,40,India,142531,2022-01-14
69,Name_69,user69@example.com,916698030531.0,53,India,158197,2023-03-11
70,Name_70,user70@example.com,915678565210.0,52,India,161605,2020-12-04
71,Name_71,user71@example.com,911159872933.0,28,UK,92980,2021-08-16
72,Name_72,user72@example.com,917763686738.0,43,India,116611,2022-07-05
73,Name_73,user73@example.com,917593825939.0,58,India,72033,2021-01-16
74,Name_74,missing@email.com,912816287312.0,40,Australia,111102,2021-12-23
75,Name_75,user75@example.com,917267931832.0,40,USA,115633,2022-10-01
76,Name_76,user76@example.com,918770603783.0,35,Australia,115301,2020-02-19
77,Unknown,user77@example.com,Unavailable,31,USA,61624,2025-01-04
78,Unknown,user78@example.com,912594399174.0,23,UK,135053,2022-03-07
79,Name_79,user79@example.com,911536233831.0,35,Canada,79275,2021-12-27
80,Name_80,user80@example.com,915573448336.0,31,Unknown,105582,2025-01-04
81,Name_81,user81@example.com,912044525211.0,20,Canada,111102,2020-09-25
82,Name_82,user82@example.com,918258285821.0,43,India,145404,2021-08-02
83,Name_83,user83@example.com,913552794430.0,59,USA,155077,2020-06-07
84,Name_84,user84@example.com,918834203328.0,40,India,45971,2022-10-15
85,Name_85,user85@example.com,919784202686.0,48,USA,87742,2023-04-04
86,Name_86,user86@example.com,918578661770.0,40,UK,40292,2023-04-15
87,Name_87,user87@example.com,Unavailable,56,India,168708,2023-06-11
88,Name_88,user88@example.com,Unavailable,33,UK,70887,2023-08-05
89,Name_89,user89@example.com,918857153966.0,38,Australia,191861,2023-02-02
90,Name_90,user90@example.com,917381415030.0,34,Unknown,71252,2022-01-07
91,Name_91,user91@example.com,916062483467.0,58,USA,79132,2022-04-13
92,Name_92,user92@example.com,916075468664.0,56,USA,94414,2025-01-04
93,Name_93,user93@example.com,919357873311.0,47,UK,54027,2022-08-12
94,Name_94,missing@email.com,914606042385.0,20,UK,134948,2021-01-13
95,Name_95,user95@example.com,Unavailable,25,UK,165398,2022-07-14
96,Name_96,user96@example.com,917821426692.0,43,Unknown,133255,2023-04-27
97,Name_97,user97@example.com,Unavailable,21,India,89847,2021-06-18
98,Name_98,missing@email.com,919532336811.0,47,UK,113941,2020-12-11
99,Name_99,user99@example.com,916212302532.0,40,Unknown,135807,2022-02-03
100,Name_100,user100@example.com,915138962092.0,53,UK,85959,2025-01-04
